"bib","name","stage","reason"
163,"Bryan Coquard",14,"DNS"
66,"Carlos Rodriguez",18,"DNS"
173,"Cees Bol",12,"DNS"
93,"Cyril Barthe",18,"DNS"
77,"Danny Van Poppel",17,"DNS"
122,"Edward Dunbar",8,"withdrawal"
185,"Emilien Jeanniere",5,"DNS"
141,"Enric Mas",18,"withdrawal"
64,"Filippo Ganna",1,"withdrawal"
48,"Georg Zimmermann",10,"DNS"
54,"Jack Haig",7,"withdrawal"
213,"Jasper De Buyst",5,"DNS"
101,"Jasper Philipsen",3,"withdrawal"
2,"Joao Almeida",9,"withdrawal"
217,"Lennert Van Eetvelt",15,"DNS"
38,"Marijn Van Den Berg",10,"DNS"
106,"Mathieu Van Der Poel",16,"DNS"
22,"Mattia Cattaneo",7,"withdrawal"
85,"Mattias Skjelmose",14,"withdrawal"
21,"Remco Evenepoel",14,"withdrawal"
228,"Soren Waerenskjold",10,"withdrawal"
154,"Stefan Bissegger",1,"withdrawal"
181,"Steff Cras",14,"withdrawal"
175,"Yevgeniy Fedorov",20,"DNS"
